id,source_name,author,title,description,url,urlToImage,publishedAt,content
1,NewsChannel1,John Doe,Title 1,Description 1,http://example.com/1,http://example.com/img1.jpg,2024-03-11T12:00:00Z,Content 1
2,NewsChannel2,Jane Smith,Title 2,Description 2,http://example.com/2,http://example.com/img2.jpg,2024-03-11T13:00:00Z,Content 2
3,NewsChannel3,Alice Johnson,Title 3,Description 3,http://example.com/3,http://example.com/img3.jpg,2024-03-11T14:00:00Z,Content 3
4,NewsChannel4,Bob Brown,Title 4,Description 4,http://example.com/4,http://example.com/img4.jpg,2024-03-11T15:00:00Z,Content 4
5,NewsChannel5,Carol King,Title 5,Description 5,http://example.com/5,http://example.com/img5.jpg,2024-03-11T16:00:00Z,Content 5
6,NewsChannel6,David Wilson,Title 6,Description 6,http://example.com/6,http://example.com/img6.jpg,2024-03-11T17:00:00Z,Content 6
7,NewsChannel7,Eva Long,Title 7,Description 7,http://example.com/7,http://example.com/img7.jpg,2024-03-11T18:00:00Z,Content 7
8,NewsChannel8,Frank Wright,Title 8,Description 8,http://example.com/8,http://example.com/img8.jpg,2024-03-11T19:00:00Z,Content 8
9,NewsChannel9,Gina Hall,Title 9,Description 9,http://example.com/9,http://example.com/img9.jpg,2024-03-11T20:00:00Z,Content 9
10,NewsChannel10,Henry Ford,Title 10,Description 10,http://example.com/10,http://example.com/img10.jpg,2024-03-11T21:00:00Z,Content 10
