"status","totalResults","results__article_id","results__title","results__link","results__keywords","results__creator","results__keywords__001","results__keywords__002","results__keywords__003","results__keywords__004","results__keywords__005","results__keywords__006","results__keywords__007","results__creator__-","results__video_url","results__description","results__content","results__pubDate","results__image_url","results__source_id","results__source_url","results__source_icon","results__source_priority","results__country__001","results__country__002","results__country__003","results__country__004","results__country__005","results__category__-","results__language","results__ai_tag","results__sentiment","results__sentiment_stats","results__ai_region","nextPage"
"success","415","1a940cf4934ae65730c627241047e9e6","Trump says banning TikTok would help Facebook, even if it’s a national security threat","https://thebusinessjournal.com/trump-says-banning-tiktok-would-help-facebook-even-if-its-a-national-security-threat/?utm_source=rss&utm_medium=rss&utm_campaign=trump-says-banning-tiktok-would-help-facebook-even-if-its-a-national-security-threat","","","national","","","","","","","JILL COLVIN Associated Press","null","Former President Donald Trump said Monday that he still believes TikTok poses a national security risk but is opposed to banning the The post Trump says banning TikTok would help Facebook, even if it’s a national security threat appeared first on The Business Journal.","ONLY AVAILABLE IN PAID PLANS","2024-03-11 21:05:51","null","thebusinessjournal","https://thebusinessjournal.com","https://i.bytvi.com/domain_icons/thebusinessjournal.png","86686","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS","1710188650315263945"
"","","93c94a9823a738dac8b49e7805509825","Newbie artificial intelligence has a huge impact on future of search","https://nation.africa/kenya/blogs-opinion/blogs/newbie-artificial-intelligence-has-a-huge-impact-on-future-of-search-4552782","null","null","","","","","","","","","null","Google’s reputation as a reliable information source will remain its big advantage as AI search...","ONLY AVAILABLE IN PAID PLANS","2024-03-11 21:00:00","https://nation.africa/resource/image/4552778/landscape_ratio2x1/320/160/8fe87310df00e78413dd6386ee5d8962/dE/gemini-google.jpg","nation","https://nation.africa/kenya","https://i.bytvi.com/domain_icons/nation.png","21354","kenya","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","176a6728d80ec0b4b1d49074c17f2c23","Best Solar Panel Installation Companies in New Mexico - CNET","https://www.cnet.com/home/energy-and-utilities/new-mexico-solar-panels/#ftag=CAD590a51e","null","","","","","","","","","Caitlin Ritchie","null","With some of the best peak sunlight hours in the country and solid state-level financial incentives, could the switch to clean energy in New Mexico be right for you?","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:52:43","https://www.cnet.com/a/img/resize/78300efc7d2dcc1de345d0296f6d9afc4909af90/hub/2023/03/03/5f847f29-b175-4b90-aa4c-116d2b4ac4da/gettyimages-1160009400-1.jpg?auto=webp&width=300","cnet","https://www.cnet.com","https://i.bytvi.com/domain_icons/cnet.png","155","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","04c465993dbca7f126f3e857f9bc15e4","Best Solar Panel Installation Companies in New Mexico - CNET","https://www.cnet.com/home/energy-and-utilities/new-mexico-solar-panels/#ftag=CADf328eec","null","","","","","","","","","Caitlin Ritchie","null","With some of the best peak sunlight hours in the country and solid state-level financial incentives, could the switch to clean energy in New Mexico be right for you?","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:52:43","https://www.cnet.com/a/img/resize/78300efc7d2dcc1de345d0296f6d9afc4909af90/hub/2023/03/03/5f847f29-b175-4b90-aa4c-116d2b4ac4da/gettyimages-1160009400-1.jpg?auto=webp&width=300","cnet","https://www.cnet.com","https://i.bytvi.com/domain_icons/cnet.png","155","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","0d33348d003d0300fccf280b2b05f53d","Best Solar Panel Installation Companies in New Mexico - CNET","https://www.cnet.com/home/energy-and-utilities/new-mexico-solar-panels/#ftag=CAD5457c2c","null","","","","","","","","","Caitlin Ritchie","null","With some of the best peak sunlight hours in the country and solid state-level financial incentives, could the switch to clean energy in New Mexico be right for you?","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:52:43","https://www.cnet.com/a/img/resize/78300efc7d2dcc1de345d0296f6d9afc4909af90/hub/2023/03/03/5f847f29-b175-4b90-aa4c-116d2b4ac4da/gettyimages-1160009400-1.jpg?auto=webp&width=300","cnet","https://www.cnet.com","https://i.bytvi.com/domain_icons/cnet.png","155","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","becc8de65b5a101ac5be2d2e6beeb189","Elon Musk says he's going to open source Grok, his ChatGPT rival","https://sea.mashable.com/tech/31628/elon-musk-says-hes-going-to-open-source-grok-his-chatgpt-rival","","","twitter","tech","elon musk","article","","","","Christianna Silva","null","This comes just after Musk sued OpenAI. xAI, an AI startup that makes up one of Elon Musk's many projects, will open-source Grok. These are all real words now.It's not entirely surprising that Musk would open-source Grok — a chatbot similar to ChatGPT that is modeled after the Hitchhiker’s Guide to …","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:51:47","https://sm.mashable.com/mashable_sea/article/e/elon-musk-/elon-musk-says-hes-going-to-open-source-grok-his-chatgpt-riv_wzbn.jpg","mashable","https://sea.mashable.com","https://i.bytvi.com/domain_icons/mashable.png","363","india","singapore","united kingdom","united states of america","australia","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","53bdd195481f439da1cbc284e4607587","Danish pharma giant zooms past Tesla with new weight loss drug","https://www.ynetnews.com/business/article/bjr4hp3ta","null","null","","","","","","","","","null","Novo Nordisk market value soars past automaker's on news of successful clinical trials; meanwhile, its Wegovy weight loss injection gaining popularity, with doctors poised to prescribe it before pill's widely available","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:46:27","https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/03/11/SJgpDzGnpa/SJgpDzGnpa_0_0_850_479_0_medium.jpg","ynetnews","https://www.ynetnews.com","null","29785","israel","","","","","business","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","8ca5d427e8e2bd6521ffdf3818204039","Trump says banning TikTok would help Facebook, even if it's a national security threat","https://japantoday.com/category/world/trump-says-banning-tiktok-would-help-facebook-even-if-it%27s-a-national-security-threat","null","null","","","","","","","","","null","Former President Donald Trump said Monday that he still believes TikTok poses a national security risk but is opposed to banning the hugely popular app because doing so…","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:39:11","https://japantoday-asset.scdn3.secure.raxcdn.com/img/store/ff/c7/f891d425c246053c75b0f0f48d780f78564e/download/_w850.jpg","japantoday","https://japantoday.com","https://i.bytvi.com/domain_icons/japantoday.png","27031","japan","","","","","world","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","09587ed23dc46dca25e97ac04bf78b93","AI coins are booming ahead of NVIDIA conference: NEAR and Scotty AI lead pack","https://www.valuewalk.com/ai-coins-are-booming-ahead-of-nvidia-conference/","","","cryptocurrency","ai","crypto","cryptocurrency","","","","Dimal Nathwani","null","AI associated cryptocurrencies have seen massive gains in recent days, as excitement for the sector builds ahead of NVIDIA’s flagship ... Read more","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:27:59","null","valuewalk","https://www.valuewalk.com","https://i.bytvi.com/domain_icons/valuewalk.png","18173","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","c82c56e103dd1ac18984d4cbef03bdb8","Cybertruck Owner Claims Tesla Blacklisted Them After Trying To Flip It For $242,069","https://jalopnik.com/cybertruck-owner-claims-tesla-blacklisted-them-after-tr-1851326234","","","tesla","tesla","business finance","tesla cybertruck","nikola tesla","tesla inc","elon musk","Collin Woodard","null","The Tesla Cybertruck is expensive, rare and somewhat bulletproof, so we understand the temptation for owners to attempt to flip them for a quick profit. If you had something that you could sell for a $100,000 profit, you probably would too, especially if it came with the added bonus of no longer getting made fun of by…Read more...","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:24:10","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/b415d6a377a61c32b1022d7e65e1da54.jpg","jalopnik","https://jalopnik.com","https://i.bytvi.com/domain_icons/jalopnik.png","4634","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
