"status","totalResults","results__article_id","results__title","results__link","results__keywords__001","results__keywords__002","results__keywords__003","results__keywords__004","results__keywords__005","results__keywords__006","results__keywords__007","results__keywords__008","results__creator__-","results__keywords","results__creator","results__video_url","results__description","results__content","results__pubDate","results__image_url","results__source_id","results__source_url","results__source_icon","results__source_priority","results__country__-","results__category__-","results__language","results__ai_tag","results__sentiment","results__sentiment_stats","results__ai_region","nextPage"
"success","415","bfdfb7b8e0771488976c6cc6023260a2","Elon Musk has a giant charity, but its money stays close to home","https://www.business-standard.com/world-news/elon-musk-has-a-giant-charity-but-its-money-stays-close-to-home-124031000717_1.html","","","","","","","","","","null","null","null","Since 2020, he has seeded his charity with tax-deductible donations of stock worth more than $7 billion at the time, making it one of the largest in the Unites States","ONLY AVAILABLE IN PAID PLANS","2024-03-10 18:06:02","https://bsmedia.business-standard.com/_media/bs/img/article/default/1240310/thumb-124031000717.jpg","business-standard","https://www.business-standard.com","https://i.bytvi.com/domain_icons/business-standard.png","9158","india","world","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS","1710084180168387569"
"","","bdb6c9e7aa6981521b93f21a3953e502","The women in AI making a difference","https://techcrunch.com/2024/03/10/the-women-in-ai-making-a-difference/","ai","government & policy","genai","interview","women","women in ai","","","Kyle Wiggers","","","null","As a part of a multi-part series, TechCrunch is highlighting women innovators — from academics to policymakers —in the field of AI. © 2024 TechCrunch. All rights reserved. For personal use only.","ONLY AVAILABLE IN PAID PLANS","2024-03-10 17:45:04","https://techcrunch.com/wp-content/uploads/2024/02/women-in-ai-cover.jpg?w=711","techcrunch","http://www.techcrunch.com","https://i.bytvi.com/domain_icons/techcrunch.png","1756","united states of america","technology","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","06858c949aa27de3365cf7d8aa42112f","Activists protest Tesla plant expansion in Germany","https://techxplore.com/news/2024-03-activists-protest-tesla-expansion-germany.html","automotive","","","","","","","","","","null","null","Several hundred people demonstrated Sunday against plans by Tesla to expand its electric car factory near Berlin, citing environmental concerns.","ONLY AVAILABLE IN PAID PLANS","2024-03-10 17:31:34","https://scx1.b-cdn.net/csz/news/tmb/2024/sundays-protest-was-or.jpg","techxplore","https://techxplore.com","null","236693","united states of america","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","08cea5f1c2963c1c4112c2dc8196b820","Activists protest Tesla plant expansion in Germany","https://www.digitaljournal.com/?p=3714911","","","","","","","","","","null","null","null","Several hundred people demonstrated Sunday against plans by Tesla to expand its electric car factory near Berlin, citing environmental concerns. The protest came days after Tesla’s Gruenheide site was forced to halt production after a nearby electricity pylon was set on fire in a suspected arson attack, causing a power outage at the plant. The […]","ONLY AVAILABLE IN PAID PLANS","2024-03-10 17:14:09","https://www.digitaljournal.com/wp-content/uploads/2024/03/55d64b73b30978c8668e79872d735d2ae912f360.jpg","digitaljournal","https://www.digitaljournal.com","null","31433","canada","business","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","dbbb1422d6f43698869477c6041d9c9b","Activists protest Tesla plant expansion in Germany","https://sg.news.yahoo.com/activists-protest-tesla-plant-expansion-170905247.html","","","","","","","","","AFP News","null","","null","null","ONLY AVAILABLE IN PAID PLANS","2024-03-10 17:09:05","https://s.yimg.com/ny/api/res/1.2/8OoQJauJD54TUm9LLA7XsA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTY0MA--/https://media.zenfs.com/en/afp.com.sg/408240e46b6948991ebc4b415248ca58","yahoo_sg","https://sg.news.yahoo.com","https://i.bytvi.com/domain_icons/yahoo_sg.png","17","singapore","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","62faccb4cd86bbe11976ef97f9e2e38f","Activists protest Tesla plant expansion in Germany","https://www.postguam.com/news/national/activists-protest-tesla-plant-expansion-in-germany/article_4638c966-8c83-587e-9777-d9f919929bc7.html","","","","","","","","","AFP","null","","null","Several hundred people demonstrated Sunday against plans by Tesla to expand its electric car factory near Berlin, citing environmental concerns.","ONLY AVAILABLE IN PAID PLANS","2024-03-10 17:09:05","https://bloximages.newyork1.vip.townnews.com/postguam.com/content/tncms/assets/v3/editorial/d/e4/de48b9b8-0191-5959-a3f2-5871f57c1a99/65edf8f4e37f3.image.jpg?resize=300%2C200","postguam","https://www.postguam.com","null","93374","united states of america","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","dda7db2b97b9420b617103f40899b8c1","Meet Claude AI’s new model; set to unthrone ChatGPT","https://finbold.com/meet-claude-ais-new-model-set-to-unthrone-chatgpt/","cryptocurrency news","startups news","technology news","ai","anthropic","artificial intelligence","claude","claude 3","Vinicius Barbosa","","","null","In retrospect, OpenAI revolutionized the artificial intelligence (AI) industry with ChatGPT. Competitors like Google’s Gemini, Elon Musk’s xAI Grok, and, … Continue reading The post Meet Claude AI’s new model; set to unthrone ChatGPT appeared first on Finbold.","ONLY AVAILABLE IN PAID PLANS","2024-03-10 16:30:00","https://assets.finbold.com/uploads/2024/03/Claude3-AI-models-haiku-sonnet-opus-1024x546.jpg","finbold","https://finbold.com","https://i.bytvi.com/domain_icons/finbold.png","14758","united kingdom","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","3ad600b86147fa7c7860cffc92acc244","Claude 3 AI unveiled: Will it dethrone ChatGPT?","https://finbold.com/claude-3-ai-unveiled-will-it-dethrone-chatgpt/","cryptocurrency news","startups news","technology news","ai","anthropic","artificial intelligence","claude","claude 3","Vinicius Barbosa","","","null","In retrospect, OpenAI revolutionized the artificial intelligence (AI) industry with ChatGPT. Competitors like Google’s Gemini, Elon Musk’s xAI Grok, and, … Continue reading The post Claude 3 AI unveiled: Will it dethrone ChatGPT? appeared first on Finbold.","ONLY AVAILABLE IN PAID PLANS","2024-03-10 16:30:00","https://assets.finbold.com/uploads/2024/03/Claude3-AI-models-haiku-sonnet-opus-1024x546.jpg","finbold","https://finbold.com","https://i.bytvi.com/domain_icons/finbold.png","14758","united kingdom","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","7abc717f7d8894b45b309a72768f3f9e","With Radda, a digital Katsina is rising BY KEN UGBECHIE","https://www.nationalaccordnewspaper.com/with-radda-a-digital-katsina-is-rising-by-ken-ugbechie/","featured","opinion","digital","katsina state governor","umar dikko radda","","","","Editor 3","","","null","A good leader knows both the way and the destination. Such a leader works deliberately to take the people through that way to the destination. [...] The post With Radda, a digital Katsina is rising BY KEN UGBECHIE appeared first on National Accord Newspaper.","ONLY AVAILABLE IN PAID PLANS","2024-03-10 16:07:28","https://i0.wp.com/www.nationalaccordnewspaper.com/wp-content/uploads/2024/03/IMG-20240310-WA0004.jpg?resize=678%2C381&ssl=1","thenationonlineng","https://thenationonlineng.net","https://i.bytvi.com/domain_icons/thenationonlineng.png","53513","nigeria","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","6d2a31c15783d60d46db901ee0b6a1de","Led by Elon Musk, Silicon Valley inches to the right","https://kuwaittimes.com/article/11907/business/led-by-elon-musk-silicon-valley-inches-to-the-right/","آخر الاخبار","","","","","","","","kuwaittimes","","","null","WASHINGTON: Since his tumultuous takeover of Twitter, Elon Musk has made an unabashed turn to the right politically, defying the orthodoxy that Silicon Valley is a citadel of well-...","ONLY AVAILABLE IN PAID PLANS","2024-03-10 15:23:00","https://kuwaittimes.com/kuwaittimes/uploads/images/2024/03/10/83729.jpg","kuwaittimes","https://www.kuwaittimes.com","https://i.bytvi.com/domain_icons/kuwaittimes.png","295375","kuwait","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
