id,createdAt,fullName,userName,profileImage,fullText,replyTo,lang,quoteCount,retweetCount,replyCount,likeCount,viewCount,sentimentLabel1,sentimentLabel2
1773239429001355747,2024-03-28 06:43:19+00:00,Stella Patchouli,StellaPatch,https://pbs.twimg.com/profile_images/1753979397013749760/3suGKKpq_normal.jpg,"@nytimes The curse on Musk iis working!
🔥☔🐱🐱🤹💥",1772931578835939531,en,0,0,0,0,9,,
1773173585424548296,2024-03-28 02:21:41+00:00,Ceti Alpha V,RichGreenwood5,https://pbs.twimg.com/profile_images/1227378559217471488/sv_HAXyO_normal.jpg,"@elonmusk and @joebiden walk into a Chinese bar. Elon makes money legally. Joe soils himself. @nytimes, you are the punchline.",,en,0,0,0,0,10,,
1772931578835939531,2024-03-27 10:20:02+00:00,The New York Times,nytimes,https://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_normal.png,Elon Musk helped create China’s electric vehicle industry. But he is now facing challenges there as well as scrutiny in the West over his reliance on the country. https://t.co/Lxth1KJUxd,,en,5,20,52,98,113250,,
1773129205556855279,2024-03-27 23:25:20+00:00,Cha Ming Sul,whitecattails,https://pbs.twimg.com/profile_images/1555885394633572352/D_kttBYV_normal.jpg,"Lies.

Musk faced even greater challenges from his own US government, regulators  and policy makers in trying to develop EVs, than he did in China.",,en,0,0,0,2,14,,
1772992490213097757,2024-03-27 14:22:04+00:00,Boston Strong 🍀,bostonstronggg,https://pbs.twimg.com/profile_images/1741828334047105024/QUgJJ814_normal.jpg,@Sp4rksaflyin @nytimes These Electric Tesla cars can't start in the New England cold... I have friends that can't even get the car started with a jump from another battery!,1772942184456614094,en,0,0,0,0,12,,
1772991291757871512,2024-03-27 14:17:19+00:00,Mark Warner,MAAWLAW,https://pbs.twimg.com/profile_images/513324609211355139/oBm3BGU3_normal.jpeg,"""Mr. #Musk initially seemed to have the upper hand in the relationship, securing concessions from #China that were rarely offered to foreign businesspeople. But in a stark shift, @Tesla is now increasingly in  trouble and losing its edge over Chinese competitors...""🤔",,en,0,0,2,1,119,,
1772986624457978166,2024-03-27 13:58:46+00:00,Mark Warner,MAAWLAW,https://pbs.twimg.com/profile_images/513324609211355139/oBm3BGU3_normal.jpeg,"""[@Tesla’s] Shanghai factory... accounting for over 1/2 of its global deliveries &amp; the bulk  of its profits... took shape in just under a year... Mr. Musk worked closely with a city official who is now #China’s premier [and] state-run banks offered Tesla low-interest loans...""🤔",,en,0,0,0,0,86,,
1772955972987711766,2024-03-27 11:56:58+00:00,"Don't Start, Won't Be",GetBackToNo,https://pbs.twimg.com/profile_images/1344005498333487105/uHjaYu6y_normal.jpg,@nytimes Is there something wrong with the Chinese Communist Party?,1772931578835939531,en,0,0,0,1,13,,
1772945946961146328,2024-03-27 11:17:08+00:00,novus locus,HuttonRich55685,https://pbs.twimg.com/profile_images/1707824921831698433/SaPuf5rx_normal.jpg,@nytimes I love my Chinese IPhone. Thank you comrade Apple,1772931578835939531,en,0,0,0,2,87,,
1772945888656421080,2024-03-27 11:16:54+00:00,Politics Barn,PoliticsBarn,https://pbs.twimg.com/profile_images/1198815918618316800/q5cXD8N7_normal.jpg,@nytimes And we can read all about it on our made-in-China devices…,1772931578835939531,en,0,0,0,3,35,,
